PN,SN,Equipment,Material Description,ATA,Contract,Order/PO,Supplier,D8 Removal Notification,D8 Removal Date,D8 Code,U/S TER,Mn.wk.ctr,Profit Ctr,A/C,Fleet,Operator,Orig Order,Orig Order Type,Orig Desc,Notif Orig,Notif Orig Type,Desc.,Doc Type,Document,DPt,Vr,Document Description,"TSN
(FH)","TSI
(FH)","SHRTRNR
TSI","CSN
(Cyc)","CSI
(Cyc)","SHRTRNR
CSI",TSC (FH),"SHRTRNR
TSC","CSC
(Cyc)",Order2,Order Type,Description,Po No,Batch Out,PO in After Out,Vendor in after out,W4 in After Out,Notif Shop,Notif Shop Type,Repair Station,PO Cost,Remark,Exclude,Vendor,PN,SN,Reason of Removal,Category Finding,Shop Finding,User Status,Total Cost Actual
024637-000,0905200137E40,12033153,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512030676,WSAV,15353906,43355,WR,S,GAH210ZZ,GMFTL,PK-GRL,CRJ1000,Garuda,802490578,GA01,RESTORATION OF THE MAIN BATTERY,15052325,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,7258.23,503.68,,6375,349,,,,,512040294,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512040294,,,,,15364750,W1,,,"25  ,50",,WSAV,024637-000,0905200137E40,RESTORATION OF THE MAIN BATTERY REF J/C ORDER 802490578,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID",RRC,524.71
024637-000,090520016B805,12152933,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512029535,WSAV,15379186,43363,FO,S,GAH413ZZ,GMFTBT,PK-GRG,CRJ1000,Garuda,802456342,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15015802,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,5411.42,522.15,,4505,486,,,,,512041028,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512041028,,,,,15392010,W1,,,"25  ,50",,WSAV,024637-000,090520016B805,FUNCTIONAL TEST OF THE MAIN BATTERY,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID",RRC,524.71
024637-000,090520016C214,12147773,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512030844,WSAV,15382045,43364,FO,S,KNO1T1ZZ,GMFKNO,PK-GRM,CRJ1000,Garuda,802511454,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15061390,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,3982.16,539.35,,3431,474,,,,,512041258,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512041258,,,,,15398481,W1,,,25  ,,WSAV,024637-000,090520016C214,FUNCTIONAL TEST OF THE MAIN BATTERY REF ORDER 802511454,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID",RRC,524.71
024637-000,09052001684EE,12156343,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512026406,WSUB,15405758,43374,WR,S,UPG1T1ZZ,GMFUPG,PK-GRN,CRJ1000,Garuda,802523600,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,14924407,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,3748.41,542.92,,3335,479,,,,,512042225,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512042225,,,,,15426694,W1,,,"15, 25  ,50",,WSAV,024637-000,09052001684EE,FUNCTIONAL TEST OF THE MAIN BATTERY REF WO 802523600,DIRTY AND LOW LEVEL LIQUID,"DIRTY, LOW LEVEL LIQUID",RRC,526.2
024637-000,09052001A1EA0,12249921,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512039026,WSAV,15410139,43376,FO,U,KNO1T1ZZ,GMFKNO,PK-GRM,CRJ1000,Garuda,TRM021067E1,GATL,REF SEQ 66,TRM021067E1,D2,REF SEQ 66,,,,,,2689.37,75.3,Y,2150,44,Y,,,,512042474,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512042474,,,,,15439904,W1,,,"15, 25  ,50",,WSAV,024637-000,09052001A1EA0,SHOP CHECK,,DIRTY AND NEED REFILL BATTERY LIQUID,RRC,209.88
024637-000,09052001DF7A0,12329074,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512012577,WSAV,15423137,43379,WR,S,UPG1T1ZZ,GMFUPG,PK-GRT,CRJ1000,Garuda,802537803,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15302550,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,1628.17,1628.17,,1294,1294,,,,,512042619,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512042619,,,,,15439880,W1,,,"15, 25  ,50",,WSAV,024637-000,09052001DF7A0,RESTORATION,,DIRTY AND NEED REFILL BATTERY LIQUID,RRC,207.61
024637-000,0905200160C71,12167453,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512034206,WSAV,15454654,43391,FO,U,CGK3T3ZZ,GMFTL,PK-GRI,CRJ1000,Garuda,TRI171025E1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,4138.05,521.73,,3568,482,,,,,512043522,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512043522,,,,,15470166,W1,,,"15, 25  ,50",,WSAV,024637-000,0905200160C71,FUNCTIONAL TEST OFF THE MAIN BATTERY,LOW INSULATION,"DIRTY, LOW INSULATION AND NEED MORE BATTERY LIQUID",RRC,207.61
024637-000,09052001684EF,12156342,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512033481,WSAV,15464800,43393,WR,S,UPG1T1ZZ,GMFUPG,PK-GRS,CRJ1000,Garuda,802564017,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15132135,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,5396.82,523.04,,4569,439,,,,,512043833,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512043833,,,,,15476928,W1,,,"15, 25  ,50",,WSAV,024637-000,09052001684EF,FUNCTIONAL TEST OF THE MAIN BATTERY,,DIRTY AND NEED MORE BATTERY LIQUID,RRC,184.96
024637-000,09052001A844C,12277499,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512041587,WSAV,15484231,43401,FO,S,SUB1T1ZZ,GMFTF,PK-GRQ,CRJ1000,Garuda,802572681,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15245493,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,2278.46,0,Y,1843,0,Y,,,,512044806,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512044806,,,,,15511626,W1,,,"15, 25  ,50",,WSAV,024637-000,09052001A844C,DURING BD CHECK BATTERY WEAK,,"DIRTY, NEED MORE BATTERY LIQUID",RRC,207.61
024637-000,0905200199116,12240582,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512033879,WSAV,15513388,43410,WR,S,KNO1T1ZZ,GMFKNO,PK-GRK,CRJ1000,Garuda,802582647,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15144958,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,3358.64,521.04,,2790,423,,,,,512045661,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512045661,,,,,15538348,W1,,,"16, 25  ,50",,WSAV,024637-000,0905200199116,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,LOW INSULATION,DIRTY AND NEED MORE BATTERY LIQUID AND LOW INSULATION,RRC,388.81
024637-000,090520013CED3,12163962,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512032264,WSAV,15547072,43422,FO,S,CGK3T3ZZ,GMFTL,PK-GRJ,CRJ1000,Garuda,TRJ171196E1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,6391.04,508.11,,5529,492,,,,,512046581,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512046581,,,,,15560863,W1,,,"16, 25  ,50",,WSAV,024637-000,090520013CED3,CRIMI,DIRTY AND LOW LEVEL LIQUID,DIRTY AND LOW LEVEL LIQUID AND SCHEDULED OVERHAUL,RRC,570.01
024637-000,09052001FBD41,12329565,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512038585,WSAV,15592148,43437,TX,S,CGK3T3ZZ,GMFTL,PK-GRP,CRJ1000,Garuda,802641200,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15300317,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,1343.86,529.36,,1117,419,,,,,512047891,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512047891,,,,,15611061,W1,,,"27, 30  ,50",,WSAV,024637-000,09052001FBD41,FUNCTIONAL TEST OF THE MAIN BATTERY,,"DIRTY, NEED MORE BATTERY LIQUID",RRC,570.01
024637-000,090520013CED2,12039357,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512035765,WSAV,15599644,43439,WR,S,GAH240ZZ,GMFTL,PK-GRO,CRJ1000,Garuda,802643828,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15205341,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,7824.71,538.91,,6706,501,,,,,512048066,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512048066,,,,,15615352,W1,,,"27, 30  ,50",,WSAV,024637-000,090520013CED2,SEND MAIN BATTERY TO SHOP FOR OVERHAUL,,"DIRTY, NEED MORE BATTERY LIQUID",RRC,479.41
024637-000,0905200199116,12240582,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512045661,WSAV,15613817,43444,FO,S,CGK3T3ZZ,GMFTL,PK-GRP,CRJ1000,Garuda,TRP091275E1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,3380.07,21.43,Y,2805,15,Y,,,,512048453,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512048453,,,,,15627341,W1,,,"27, 30  ,50",,WSAV,024637-000,0905200199116,CRIMI,,DIRTY AND NEED MORE BATTERY LIQUID,RRC,207.61
024637-000,09052001FFB12,12351271,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512035567,WSAV,15619525,43446,FO,S,CGK3T3ZZ,GMFTL,PK-GRA,CRJ1000,Garuda,TRA111202E1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,803.08,514.6,,665,409,,,,,512048596,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512048596,,,,,15629290,W1,,,"27, 30  ,50",,WSAV,024637-000,09052001FFB12,CRIMI,,DIRTY AND NEED MORE BATTERY LIQUID,RRC,388.81
024637-000,0905200164C48,12156340,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512037714,WSAV,15642516,43452,WR,U,KNO1T1ZZ,GMFKNO,PK-GRC,CRJ1000,Garuda,TRC181224E1,GATL,MAINTENANCE REF JC .802662292 RESTORATIO,TRC181224E1,D2,MAINTENANCE REF JC .802662292 RESTORATIO,,,,,,4760.68,464.41,,3978,382,,,,,512049109,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512049109,,,,,15678768,W1,,,"27, 30  ,50",,WSAV,024637-000,0905200164C48,REF ORDER 802662292,LOW INSULATION,"DIRTY, NEED MORE BATTERY LIQUID AND LOW INSULATION",RRC,388.81
024637-000,0905200128F87,12179945,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512038325,WSAV,15645825,43453,FO,S,CGK3T3ZZ,GMFTL,PK-GRE,CRJ1000,Garuda,TRE191294E1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,6536.63,457.25,,5597,447,,,,,512049469,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512049469,,,,,15661110,W1,,,"27, 30  ,50",,WSAV,024637-000,0905200128F87,CRIMI IN SN 0905200137E40 OFF SN 0905200128F87,LOW INSULATION,"DIRTY , LOW INSULATION AND NEED MORE BATTERY LIQUID",RRC,343.51
024637-000,09052001F15B0,12369198,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512039625,WSAV,15661303,43459,WR,U,GAH210ZZ,GMFTL,PK-GRN,CRJ1000,Garuda,TRN061037E1,GATL,,,,,,,,,,728.65,486.47,,617,414,,,,,512049853,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512049853,,,,,15680620,W1,,,"27, 30  ,50",,WSAV,024637-000,09052001F15B0,OVER HAUL PN ON :024637-000:09052 SN ON :0905200199116,,DIRTY AND NEED MORE BATTERY LIQUID AND SCHEDULED OVERHAUL,RRC,388.81
024637-000,0905200150707,12149159,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512040295,WSAV,15681920,43467,FO,S,CGK3T3ZZ,GMFTL,PK-GRM,CRJ1000,Garuda,TRM010141F1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,5759.39,539.84,,4901,440,,,,,512050523,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512050523,,,,,15707406,W1,,,"34,50",,WSAV,024637-000,0905200150707,RESTORATION OF THE MAIN BATTERY REF ORDER 80268591,,"DIRTY, NEED MORE BATTERY LIQUID AND SCHEDULED OVERHAUL",RRC,388.81
024637-000,090520013063B,12057840,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512038701,WSAV,15691963,43469,FO,S,GAH413ZZ,GMFTBT,PK-GRL,CRJ1000,Garuda,802698913,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15306830,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,8187.67,514.79,,7172,406,,,,,512050758,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512050758,,,,,15714687,W1,,,"34,50",,WSAV,024637-000,090520013063B,FUNCTIONAL TEST OF THE MAIN BATTERY EX.PK-GRL REFF J/C:802698913,LOW INSULATION,"DIRTY, NEED MORE BATTERY LIQUID AND LOW INSULATION",RRC,388.81
024637-000,090520016B805,12152933,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512041028,WSAV,15704523,43472,WR,S,UPG1T1ZZ,GMFUPG,PK-GRT,CRJ1000,Garuda,802697789,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15393033,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,5933.15,521.98,,4968,464,,,,,512051343,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512051343,,,,,15737117,W1,,,34,,WSAV,024637-000,090520016B805,RESTORATION (OVERHAUL) OF THE MAIN BATTERY REF ORDER NUMBER: 802697789,,"DIRTY, NEED MORE BATTERY LIQUID",RRC,570.01
024637-000,09052001A1EA0,12249921,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512049898,WSAV,15707940,43473,FO,U,CGK3T3ZZ,GMFTL,PK-GRL,CRJ1000,Garuda,TRL080136F1,GATL,AIRCRAFT BATTERY CRJ,,,,,,,,,2700.57,11.2,Y,2158,8,Y,,,,512051065,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512051065,,,,,15725221,W1,,,34,,WSAV,024637-000,09052001A1EA0,DURING BOARDING MAIN BATTERY CHARGER REF AMM 21-32-01-400-801,LOW INSULATION,"DIRTY , LOW INSULATION AND NEED MORE BATTERY LIQUID",RRC,207.61
024637-000,09052001A5FCC,12251370,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512036651,WSAV,15735295,43482,EO,S,CGK3T3ZZ,GMFTL,PK-GRR,CRJ1000,Garuda,TRR160174F1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,3677.8,489.13,,3106,356,,,,,512051726,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512051726,,,,,15748229,W1,,,34,,WSAV,024637-000,09052001A5FCC,CRIMI,LOW INSULATION,"DIRTY, LOW INSULATION, NEED MORE BATTERY LIQUID",RRC,388.81
024637-000,090520016C214,12147773,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512041258,WSAV,15741286,43483,WR,S,UPG1T1ZZ,GMFUPG,PK-GRI,CRJ1000,Garuda,802711309,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15398492,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,4495.18,513.02,,3931,500,,,,,512052551,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512052551,,,,,15790454,W1,,,"34,50",,WSAV,024637-000,090520016C214,RESTORATION,,"DIRTY, NEED MORE BATTERY LIQUID",RRC,207.61
024637-000,0905200119D62,12137748,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512040298,WSAV,15805416,43498,WR,S,UPG1T1ZZ,GMFUPG,PK-GRG,CRJ1000,Garuda,802740827,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15369272,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,4713.84,501.84,,4091,516,,,,,512054000,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512054000,,,,,15860072,W1,,,",50",,WSAV,024637-000,0905200119D62,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,,"DIRTY (SALT PARTICLE), NEED MORE BATTERY LIQUID",RRC,388.81
024637-000,09052001444F5,12020808,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512043206,WSAV,15807786,43499,WR,S,GAH2P1ZZ,GMFTL,PK-GRH,CRJ1000,Garuda,802762646,GA02,RESTORATION (OVERHAUL) OF THE MAIN BATTERY REFF ORDER 802760049,,,,,,,,,5240.62,494.97,,4376,374,,,,,512053371,GA05,OVERHAUL 24-32-06 AIRCRAFT BATTERY,512053371,,,,,15827287,W1,,,",50",,WSAV,024637-000,09052001444F5,RESTORATION (OVERHAUL) OF THE MAIN BATTERY ON PN: 024637-000:09052 SN: 090520016C214,LOW INSULATION,"DIRTY ( SALT PARTICLE ) , LOW INSULATION AND NEED MORE BATTERY LIQUID",RRC,388.81
024637-000,0905200169C7D,12156339,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512036931,WSAV,15974998,43530,FO,S,CGK3T3ZZ,GMFTL,PK-GRQ,CRJ1000,Garuda,TRQ050378F2,GATL,MAINT REF ORDER 802817514 FUNCTIONAL TEST OF THE APU BATTERY - P/N: 024637-000:09052 S/N IN: 09052001FFB12 S/N OUT: 0905200169C7D REPLACED MAIN BATTERY PAK CAPACITY TEST AT SHOP,,,,,,,,,5200.64,460.99,,4435,444,,,,,512056219,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512056219,,,,,15999557,W1,,,"39,42,50",,WSAV,024637-000,0905200169C7D,FUNCTIONAL TEST OF THE APU BATTERY MAINT REF ORDER 802817514 - P/N: 024637-000:09052 S/N IN: 09052001FFB12 S/N OUT: 0905200169C7D REPLACED MAIN BATTERY PAK CAPACITY TEST AT SHOP,LOW INSULATION,"DIRTY (SALT PARTICLE), LOW INSULATION, NEED MORE BATTERY LIQUID",RRC,207.61
024637-000,09052001DF7A0,12329074,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512049472,WSAV,16016003,43540,FO,U,SUB1T1ZZ,GMFTF,PK-GRT,CRJ1000,Garuda,TRT150393F1,GATL,20MNTS APU RUN N STABILIZE FOUND MAIN BA,TRT150393F1,D2,20MNTS APU RUN N STABILIZE FOUND MAIN BA,,,,,,1938.39,314.18,,1611,319,,,,,512057844,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512057844,,,,,16053746,W1,,,"39,42,50",,WSAV,024637-000,09052001DF7A0,20 MNTS APU RUN N STABILIZE FOUND MAIN BATT CHARG ILL Action Taken:- MDC BITE FOUND CODE B1-006084 TRIED TO RESET CB MAIN BATT CHARG REF 24- 32-07-810-0 TRBL STILL EXIST RPLCD MAIN BATT REF AMM 24-32-0- 00/400-801 A01 OPS TEST TASK 24-32-01-710-801-A01 REV 60 25JAN 2019,,"DIRTY (SALT PARTICLE), NEED MORE BATTERY LIQUID",RRC,207.61
024637-000,0905200137E40,12033153,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512047892,WSAV,16071428,43555,WR,S,UPG1T1ZZ,GMFUPG,PK-GRE,CRJ1000,Garuda,802858903,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15618637,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,7734.31,476.16,,6829,456,,,,,512058958,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTYERY,512058958,,,,,16115431,W1,,,"39,42,50",,WSAV,024637-000,0905200137E40,RESTORATION,,"DIRTY (SALT PARTICLE), NEED MORE BATTERY LIQUID",RRC,197.99
024637-000,09052001EC74D,12364210,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512044220,1000,16096662,43561,FO,U,CGK3T3ZZ,GMFTL,PK-GRK,CRJ1000,Garuda,TRK050429F1,GATL,"BATTERY, MAIN, MODEL 1756-3",,,,,,,,,471.09,471.09,,317,317,,,,,512059275,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTYERY,TRK050429F1,,,,,16125451,W1,,,"43,50",,WSAV,024637-000,09052001EC74D,FUNC TEST OF MAIN BATT,,"DIRTY(SALT PARTICLE), NEED MORE BATTERY LIQUID",RRC,241.19
024637-000,090520016B805,12152933,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512055437,WSAV,16101985,43563,FO,S,SUB1T1ZZ,GMFTF,PK-GRT,CRJ1000,Garuda,TRT070452F1,GATL,RESTORATION OF THE MAIN BATTERY REF ORDE,TRT070452F1,D2,RESTORATION OF THE MAIN BATTERY REF ORDE,,,,,,6037.66,104.51,,5072,104,,,,,512059908,GA05,TEST & REPAIR OF 24-32-06 AIRCRAFT BAT,TRT070452F1,,,,,16152954,W1,,,"43,50",,WSAV,024637-000,090520016B805,RESTORATION,,DIRTY BY SALT PARTICLE AND NEED MORE BATTERY LIQUID,RRC,197.99
024637-000,09052001A844C,12277499,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512056610,WSAV,16102138,43563,FO,S,SUB1T1ZZ,GMFTF,PK-GRT,CRJ1000,Garuda,802875559,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15661208,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,2279.4,1.27,Y,1843,1,Y,,,,512059947,GA05,TEST & REPAIR OF 24-32-06 AIRCRAFT BAT,802875559,,,,,16152680,W1,,,"43,50",,WSAV,024637-000,09052001A844C,OFF,,DIRTY BY SALT PARTICLE AND NEED FOR MORE BATTERY LIQUID,RRC,197.99
024637-000,090520013CED3,12163962,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512050385,WSAV,16154578,43575,WR,S,CGK3T3ZZ,GMFTL,PK-GRF,CRJ1000,Garuda,802901148,GA01,FUNCTIONAL TEST OF THE MAIN BATTERY,15703944,E8,MAIN BATTERY FUNCTIONAL CHECK,AMI,10000028186,000,08,MAIN BATTERY FUNCTIONAL CHECK,6836.52,445.48,,5981,452,,,,,512060860,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,802901148,,,,,16169024,W1,,,"43,50",,WSAV,024637-000,090520013CED3,FUNCTIONAL TEST OF THE MAIN BATTERY,,"DIRTY (SALT PARTICLE), NEED MORE BATTERY LIQUID",RRC,154.79
024637-000,090520011B476,12118089,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512051725,WSAV,16274945,43595,FO,U,SUB1T1ZZ,GMFTF,PK-GRG,CRJ1000,Garuda,TRG090538F1,GATL,REF MAINTENANCE JOB CARD ORDER 802947644,TRG090538F1,D2,REF MAINTENANCE JOB CARD ORDER 802947644,,,,,,11981.9,492.13,,8673,496,,,,,512063056,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BAT,512063056,,,,,16322034,W1,,,"44,50",,WSAV,024637-000,090520011B476,OFF,,DIRTY BY SALT PARTICLE AND NEED MORE BATTERY LIQUID,RRC,327.59
024637-000,0905200160C71,12167453,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512047125,WSAV,16322804,43605,WR,S,UPG1T1ZZ,GMFUPG,PK-GRC,CRJ1000,Garuda,802969035,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15582567,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,4611.18,471.95,,3934,368,,,,,512064288,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BATTERY,512064288,,,,,16351659,W1,,,"44,50",,WSAV,024637-000,0905200160C71,RESTORATION (OVERHAUL) OF THE MAIN,,DIRTY BY SALT PARTICLE AND NEED MORE BATTERY LIQUID,RRC,327.59
024637-000,09052001684EF,12156342,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512047591,WSAV,16340887,43611,WR,S,UPG1T1ZZ,GMFUPG,PK-GRO,CRJ1000,Garuda,802969439,GA01,RESTORATION (OVERHAUL) OF THE MAIN BATTERY,15593584,E8,MAIN BATTERY OVERHAUL,AMI,10000028185,000,06,MAIN BATTERY OVERHAUL,5873.79,477.3,,4988,420,,,,,512065240,GA05,OVERHAUL OF 24-32-06 AIRCRAFT BAT,512065240,,,,,16377318,W1,,,"44,50",,WSAV,024637-000,09052001684EF,RESTORATION,,"DIRTY (SALT PARTICLE), NEED MORE BATTERY LIQUID",RRC,370.79
024637-000,09052001A1EA0,12249921,"BATTERY, MODEL 1756-3 (SCD 601R59041-3)",24,,512051065,WSAV,16406676,43631,FO,S,SUB1T1ZZ,GMFTF,PK-GRI,CRJ1000,Garuda,TRI140617F1,GATL,REF ORDER 803019007 RESTORATION OF MAIN,TRI140617F1,D2,REF ORDER 803019007 RESTORATION OF MAIN,,,,,,3197.05,496.48,,2624,466,,,,,512067025,GA05,TEST AND REPAIR OF 24-32-06 AIRCRAFT BAT,512067025,,,,,16480660,W1,,,"45,50",,WSAV,024637-000,09052001A1EA0,RESTORATION OF MAIN BATTERY REF ORDER 803019007 Action Taken:- RPLCD THE MAIN BATT REF AMM 24-32-01-000-A01 AMM 24-32-01-400-A01 REV61 MAR29 2019 OPS TEST THE MAIN BATT REF AMM 24-32-01-710-801-A01 REV61 MAR29 2019,,"DIRTY (SALT PARTICLE), NEED MORE BATTERY LIQUID",RRC,370.79
